time,price,number
Feb 20 2014 01 0,116.501,9
Feb 21 2014 01 0,119.078,4
Feb 22 2014 01 0,121.407,5
Feb 23 2014 01 0,120.307,8
Feb 24 2014 01 0,110.278,9
Feb 25 2014 01 0,119.239,10
Feb 26 2014 01 0,116.492,5
Feb 27 2014 01 0,117.753,5
Feb 28 2014 01 0,114.836,9
Mar 01 2014 01 0,122.317,5
Mar 02 2014 01 0,106.683,11
Mar 03 2014 01 0,112.672,8
Mar 04 2014 01 0,113.648,6
Mar 05 2014 01 0,113.937,7
Mar 06 2014 01 0,118.88,9
Mar 07 2014 01 0,124.409,6
Mar 08 2014 01 0,127.823,11
Mar 09 2014 01 0,119.211,8
Mar 10 2014 01 0,123.908,8
Mar 11 2014 01 0,127.248,3
Mar 12 2014 01 0,121.305,8
Mar 13 2014 01 0,128.637,7
Mar 14 2014 01 0,132.984,7
Mar 15 2014 01 0,129.908,8
Mar 16 2014 01 0,121.09,8
Mar 17 2014 01 0,123.939,8
Mar 18 2014 01 0,123.596,10
Mar 19 2014 01 0,124.012,4
Mar 20 2014 01 0,132.907,6
Mar 21 2014 01 0,129.776,9
Mar 22 2014 01 0,113.415,7
Mar 23 2014 01 0,130.521,8
Mar 24 2014 01 0,126.3,6
Mar 25 2014 01 0,132.829,7
Mar 26 2014 01 0,136.609,8
Mar 27 2014 01 0,127.878,4
Mar 28 2014 01 0,128.852,9
Mar 29 2014 01 0,137.031,5
Mar 30 2014 01 0,129.773,6
Mar 31 2014 01 0,127.398,7
Apr 01 2014 01 0,134.475,2
Apr 02 2014 01 0,133.846,5
Apr 03 2014 01 0,132.867,6
Apr 04 2014 01 0,142.961,7
Apr 05 2014 01 0,136.497,5
Apr 06 2014 01 0,140.076,5
Apr 07 2014 01 0,130.227,7
Apr 08 2014 01 0,138.127,5
Apr 09 2014 01 0,137.555,3
Apr 10 2014 01 0,123.555,2
Apr 11 2014 01 0,134.533,10
Apr 12 2014 01 0,141.71,8
Apr 13 2014 01 0,141.317,6
Apr 14 2014 01 0,136.915,6
Apr 15 2014 01 0,145.008,5
Apr 16 2014 01 0,140.913,10
Apr 17 2014 01 0,141.99,8
Apr 18 2014 01 0,140.486,7
Apr 19 2014 01 0,140.322,9
Apr 20 2014 01 0,151.541,6
Apr 21 2014 01 0,149.095,9
Apr 22 2014 01 0,150.329,8
Apr 23 2014 01 0,155.991,5
Apr 24 2014 01 0,147.948,9
Apr 25 2014 01 0,150.017,13
Apr 26 2014 01 0,151.786,4
Apr 27 2014 01 0,142.412,12
Apr 28 2014 01 0,134.484,9
Apr 29 2014 01 0,139.046,9
Apr 30 2014 01 0,154.505,14
May 01 2014 01 0,140.568,8
May 02 2014 01 0,145.855,12
May 03 2014 01 0,145.79,12
May 04 2014 01 0,145.35,15
May 05 2014 01 0,146.819,12
May 06 2014 01 0,154.93,5
May 07 2014 01 0,151.802,8
May 08 2014 01 0,132.846,8
May 09 2014 01 0,135.22,13
May 10 2014 01 0,158.414,7
May 11 2014 01 0,151.232,7
May 12 2014 01 0,144.955,7
May 13 2014 01 0,135.898,6
May 14 2014 01 0,139.119,13
May 15 2014 01 0,138.598,11
May 16 2014 01 0,140.134,5
May 17 2014 01 0,136.579,7
May 18 2014 01 0,133.79,13
May 19 2014 01 0,137.937,8
May 20 2014 01 0,142.826,9
May 21 2014 01 0,147.068,8
May 22 2014 01 0,145.407,5
May 23 2014 01 0,144.395,12
May 24 2014 01 0,141.039,8
May 25 2014 01 0,142.688,6
May 26 2014 01 0,138.378,12
May 27 2014 01 0,137.959,11
May 28 2014 01 0,140.507,6
May 29 2014 01 0,137.314,5
May 30 2014 01 0,137.027,14
May 31 2014 01 0,139.109,9
Jun 01 2014 01 0,137.518,12
Jun 02 2014 01 0,133.061,11
